status,price,bed,bath,acre_lot,full_address,street,city,state,zip_code,house_size,sold_date
for_sale,225000.0,5.0,4.0,0.12,"Vannina, Ponce, PR, 00717",Vannina,Ponce,Puerto Rico,717.0,1600.0,
for_sale,495000.0,4.0,2.0,3.08,"Sector Usera Carr 153 Km # 91, Santa Isabel, PR, 00757",Sector Usera Carr 153 Km # 91,Santa Isabel,Puerto Rico,757.0,2886.0,
for_sale,220000.0,1.0,1.0,0.1,"18 Paseo De La Pesca, Ponce, PR, 00730",18 Paseo De La Pesca,Ponce,Puerto Rico,730.0,850.0,
for_sale,70500.0,3.0,1.0,0.23,"Carr 371 Herminio Perez, Yauco, PR, 00698",Carr 371 Herminio Perez,Yauco,Puerto Rico,698.0,936.0,
for_sale,305000.0,3.0,2.0,1.13,"Km 6 4 Carr # 111, Moca, PR, 00676",Km 6 4 Carr # 111,Moca,Puerto Rico,676.0,1928.0,
for_sale,475000.0,4.0,4.0,4.84,"PR-445 Km 3 4 Interior, San Sebastian, PR, 00685",PR-445 Km 3 4 Interior,San Sebastian,Puerto Rico,685.0,3690.0,
for_sale,195000.0,3.0,4.0,1.94,"Carr 111 Calle Las Flores, Utuado, PR, 00641",Carr 111 Calle Las Flores,Utuado,Puerto Rico,641.0,2500.0,
for_sale,120000.0,4.0,2.0,0.24,"8 Calle Barbosa Bernard, Las Marias, PR, 00670",8 Calle Barbosa Bernard,Las Marias,Puerto Rico,670.0,1800.0,
for_sale,650000.0,9.0,7.0,0.46,"Km 105 Camino Cesar Gomez, Mayaguez, PR, 00680",Km 105 Camino Cesar Gomez,Mayaguez,Puerto Rico,680.0,3709.0,
for_sale,555000.0,5.0,3.0,0.16,"17 18 Paseo De La Pesca, Ponce, PR, 00730",17 18 Paseo De La Pesca,Ponce,Puerto Rico,730.0,3100.0,
for_sale,3900000.0,6.0,6.0,0.94,"13 El Penon Ward, Penuelas, PR, 00624",13 El Penon Ward,Penuelas,Puerto Rico,624.0,9297.0,
for_sale,400000.0,,,0.99,"Carretera 111 Km 12 6 Barrio Capa Moca, Moca, PR, 00676",Carretera 111 Km 12 6 Barrio Capa Moca,Moca,Puerto Rico,676.0,43082.0,
for_sale,380000.0,,,18.45,"Calle N Finca De 19 Cuerdas En El Bo Campo Alegre En Hatillo, Hatillo, PR, 00659",Calle N Finca De 19 Cuerdas En El Bo Campo Alegre En Hatillo,Hatillo,Puerto Rico,659.0,,
for_sale,95000.0,3.0,2.0,0.1,"D1 Urb San Cristobal, Aguada, PR, 00602",D1 Urb San Cristobal,Aguada,Puerto Rico,602.0,600.0,
for_sale,74000.0,3.0,1.0,0.09,"Km 4 1 Pr # 417, Aguada, PR, 00602",Km 4 1 Pr # 417,Aguada,Puerto Rico,602.0,900.0,
for_sale,139500.0,4.0,2.0,0.15,"151 Calle San Jose, Aguada, PR, 00602",151 Calle San Jose,Aguada,Puerto Rico,602.0,3000.0,
for_sale,149900.0,1.0,1.0,0.26,"Bo Espinal Carr # 442, Aguada, PR, 00602",Bo Espinal Carr # 442,Aguada,Puerto Rico,602.0,2100.0,
for_sale,180000.0,2.0,2.0,0.24,"4417 Br, Aguada, PR, 00602",4417 Br,Aguada,Puerto Rico,602.0,1138.0,
for_sale,249000.0,3.0,2.0,0.13,"Km 1 6 Carr # 411, Aguada, PR, 00602",Km 1 6 Carr # 411,Aguada,Puerto Rico,602.0,1380.0,
for_sale,252000.0,6.0,4.0,0.23,"Km 0 7 Carr # 4417, Aguada, PR, 00602",Km 0 7 Carr # 4417,Aguada,Puerto Rico,602.0,2500.0,
for_sale,160000.0,2.0,1.0,,"B15 Carr 115 Km 24 1 Int Unit B15, Aguada, PR, 00602",B15 Carr 115 Km 24 1 Int Unit B15,Aguada,Puerto Rico,602.0,813.0,
for_sale,90000.0,2.0,1.0,0.07,"A-18 Condominio Los Almendros, Aguada, PR, 00602",A-18 Condominio Los Almendros,Aguada,Puerto Rico,602.0,813.0,
for_sale,500000.0,5.0,3.0,1.78,"1 Pr, Aguada, PR, 00602",1 Pr,Aguada,Puerto Rico,602.0,2962.0,
for_sale,339000.0,4.0,2.0,0.1,"13 Calle Valle Hermoso, Aguada, PR, 00602",13 Calle Valle Hermoso,Aguada,Puerto Rico,602.0,1955.0,
for_sale,265000.0,3.0,2.0,0.08,"D36 Calle 9, Aguada, PR, 00602",D36 Calle 9,Aguada,Puerto Rico,602.0,1200.0,
for_sale,10000000.0,6.0,5.0,0.12,"441 Bo Carrizal Km 2 6 Unit 4, Aguada, PR, 00602",441 Bo Carrizal Km 2 6 Unit 4,Aguada,Puerto Rico,602.0,6000.0,
for_sale,389000.0,3.0,4.0,2.0,"Km 1 8 Int Carr # 414, Aguada, PR, 00602",Km 1 8 Int Carr # 414,Aguada,Puerto Rico,602.0,1880.0,
for_sale,575000.0,3.0,2.0,2.96,"Sect Ramos Piedras Blancas, Aguada, PR, 00602",Sect Ramos Piedras Blancas,Aguada,Puerto Rico,602.0,2500.0,
for_sale,35000.0,,,0.88,"4416 K 1 8 Bo Naranjo, Aguada, PR, 00602",4416 K 1 8 Bo Naranjo,Aguada,Puerto Rico,602.0,,
for_sale,58000.0,,,0.21,"Solar 9 Carr # 416, Aguada, PR, 00602",Solar 9 Carr # 416,Aguada,Puerto Rico,602.0,,
for_sale,85000.0,,,21.08,"417 Km 0 6 Piedras Blancas, Aguada, PR, 00602",417 Km 0 6 Piedras Blancas,Aguada,Puerto Rico,602.0,,
for_sale,47000.0,,,0.57,"Atalaya Rd, Aguada, PR, 00602",Atalaya Rd,Aguada,Puerto Rico,602.0,,
for_sale,720000.0,3.0,3.0,,"8 Carr 115 Bo Guayabo Unit Dn, Aguada, PR, 00602",8 Carr 115 Bo Guayabo Unit Dn,Aguada,Puerto Rico,602.0,2715.0,
for_sale,375000.0,7.0,5.0,0.31,"115 Carr # 115, Aguada, PR, 00602",115 Carr # 115,Aguada,Puerto Rico,602.0,2775.0,
for_sale,50000.0,,,0.65,"Pr416 1 3 Bo Piedras Blancas, Aguada, PR, 00602",Pr416 1 3 Bo Piedras Blancas,Aguada,Puerto Rico,602.0,,
for_sale,3250000.0,,6.0,0.06,"Carr 413 Sandy Bch, Rincon, PR, 00602",Carr 413 Sandy Bch,Rincon,Puerto Rico,602.0,,
for_sale,39500.0,,,0.24,"Km 5 4 Int Carr # 417, Aguada, PR, 00602",Km 5 4 Int Carr # 417,Aguada,Puerto Rico,602.0,,
for_sale,249500.0,,,33.35,"34 Cuerdas Rd, Aguada, PR, 00602",34 Cuerdas Rd,Aguada,Puerto Rico,602.0,,
for_sale,1399000.0,5.0,3.0,8.74,"1 Bo Jaguey Carr 411 Km 2 5 Int, Aguada, PR, 00602",1 Bo Jaguey Carr 411 Km 2 5 Int,Aguada,Puerto Rico,602.0,5517.0,
for_sale,600000.0,6.0,5.0,0.1,"Pr, Aguada, PR, 00602",Pr,Aguada,Puerto Rico,602.0,2400.0,
for_sale,649000.0,,,2.64,"Pr, Aguada, PR, 00602",Pr,Aguada,Puerto Rico,602.0,,
for_sale,189000.0,2.0,1.0,,"Km2 1 Carr # 442, Aguada, PR, 00602",Km2 1 Carr # 442,Aguada,Puerto Rico,602.0,951.0,
for_sale,150000.0,,,1.46,"Km 25 Carr # 115, Aguada, PR, 00602",Km 25 Carr # 115,Aguada,Puerto Rico,602.0,,
for_sale,74000.0,,,0.21,"Solar C Carretera 416 Km 0 1 Int Bo Piedras Blancas, Aguada, PR, 00602",Solar C Carretera 416 Km 0 1 Int Bo Piedras Blancas,Aguada,Puerto Rico,602.0,,
for_sale,65500.0,,,0.28,"10 Solar 411 Km 1 3 Int Rd # 10, Aguada, PR, 00602",10 Solar 411 Km 1 3 Int Rd # 10,Aguada,Puerto Rico,602.0,,
for_sale,67500.0,,,0.28,"9 Solar 411 Km 1 3 Int Rd # 9, Aguada, PR, 00602",9 Solar 411 Km 1 3 Int Rd # 9,Aguada,Puerto Rico,602.0,,
for_sale,74000.0,,,0.21,"B Carretera 416 Km 0 1 Int, Aguada, PR, 00602",B Carretera 416 Km 0 1 Int,Aguada,Puerto Rico,602.0,,
for_sale,130000.0,,,0.42,"Km 16 Pr # 441, Aguada, PR, 00602",Km 16 Pr # 441,Aguada,Puerto Rico,602.0,,
for_sale,95000.0,,,0.37,"417 Km 0 7 Bo Asomante, Aguada, PR, 00602",417 Km 0 7 Bo Asomante,Aguada,Puerto Rico,602.0,,
for_sale,329000.0,,,0.23,"304 Calle Miramar, Rincon, PR, 00602",304 Calle Miramar,Rincon,Puerto Rico,602.0,,
for_sale,130000.0,,,0.68,"1 Bo Guaniquilla, Aguada, PR, 00602",1 Bo Guaniquilla,Aguada,Puerto Rico,602.0,,
for_sale,94770.0,,,0.25,"115 Carr 115 Bo Guayabo Km # 192, Aguada, PR, 00602",115 Carr 115 Bo Guayabo Km # 192,Aguada,Puerto Rico,602.0,,
for_sale,150000.0,,,0.38,"Km 16 1 Pr # 115, Aguada, PR, 00602",Km 16 1 Pr # 115,Aguada,Puerto Rico,602.0,,
for_sale,165000.0,,,0.4,"115 K 24 3 Bo Asomante, Aguada, PR, 00602",115 K 24 3 Bo Asomante,Aguada,Puerto Rico,602.0,,
for_sale,215000.0,3.0,2.0,0.22,"2 Bo Guerrero, Aguadilla, PR, 00603",2 Bo Guerrero,Aguadilla,Puerto Rico,603.0,2070.0,
for_sale,63000.0,3.0,2.0,0.05,"Carr 467 Km # 20, Aguadilla, PR, 00603",Carr 467 Km # 20,Aguadilla,Puerto Rico,603.0,1184.0,
for_sale,215000.0,3.0,2.0,0.22,"465 Carr # 465, Aguadilla, PR, 00603",465 Carr # 465,Aguadilla,Puerto Rico,603.0,1900.0,
for_sale,115000.0,3.0,1.0,0.2,"Sec Villa Cortez, Aguadilla, PR, 00603",Sec Villa Cortez,Aguadilla,Puerto Rico,603.0,980.0,
for_sale,99000.0,4.0,2.0,0.89,"63 Calle Zagua, Aguadilla, PR, 00603",63 Calle Zagua,Aguadilla,Puerto Rico,603.0,1408.0,
for_sale,850000.0,5.0,5.0,0.62,"25 Calle Real, Aguadilla, PR, 00603",25 Calle Real,Aguadilla,Puerto Rico,603.0,8460.0,
for_sale,140000.0,3.0,2.0,0.11,"D4 Urb Brisas Del Campo Alegre # D4, Aguadilla, PR, 00603",D4 Urb Brisas Del Campo Alegre # D4,Aguadilla,Puerto Rico,603.0,1116.0,
for_sale,499000.0,4.0,3.0,0.26,"110 Carr 110, Aguadilla, PR, 00603",110 Carr 110,Aguadilla,Puerto Rico,603.0,3734.0,
for_sale,180000.0,3.0,2.0,0.17,"26A Villa Matias, Aguadilla, PR, 00603",26A Villa Matias,Aguadilla,Puerto Rico,603.0,1500.0,
for_sale,225900.0,6.0,3.0,0.49,"Pr 443 Km # 51, Aguadilla, PR, 00603",Pr 443 Km # 51,Aguadilla,Puerto Rico,603.0,2618.0,
for_sale,260000.0,4.0,2.0,0.12,"4 Calle Reparto Villa Marta, Aguadilla, PR, 00603",4 Calle Reparto Villa Marta,Aguadilla,Puerto Rico,603.0,1760.0,
for_sale,31179.0,,,0.13,"Victoria Altos Victoria, Aguadilla, PR, 00603",Victoria Altos Victoria,Aguadilla,Puerto Rico,603.0,,
for_sale,500000.0,4.0,3.0,0.33,"Km 7 3 Carr # 4459, Aguadilla, PR, 00603",Km 7 3 Carr # 4459,Aguadilla,Puerto Rico,603.0,2950.0,
for_sale,225000.0,3.0,2.0,0.21,"Aguada Bo Guayabo, Aguada, PR, 00603",Aguada Bo Guayabo,Aguada,Puerto Rico,603.0,1565.0,
for_sale,28000.0,,,0.25,"443 Km 1 5 Bo Caimital Alto, Aguadilla, PR, 00603",443 Km 1 5 Bo Caimital Alto,Aguadilla,Puerto Rico,603.0,,
for_sale,425000.0,4.0,2.0,0.95,"Pr, Aguadilla, PR, 00603",Pr,Aguadilla,Puerto Rico,603.0,3468.0,
for_sale,300000.0,4.0,2.0,10.76,"459 Camaseyes Carretera, Aguadilla, PR, 00603",459 Camaseyes Carretera,Aguadilla,Puerto Rico,603.0,547.0,
for_sale,75000.0,,,0.19,"Kmhm 27 2 Pr # 110, Aguadilla, PR, 00603",Kmhm 27 2 Pr # 110,Aguadilla,Puerto Rico,603.0,,
for_sale,290000.0,3.0,2.0,0.15,"110 Calle Carey # 110, Aguadilla, PR, 00603",110 Calle Carey # 110,Aguadilla,Puerto Rico,603.0,2280.0,
for_sale,550000.0,3.0,4.0,0.2,"17 Villa Ramon Marin Garcia, Aguadilla, PR, 00603",17 Villa Ramon Marin Garcia,Aguadilla,Puerto Rico,603.0,4020.0,
for_sale,234900.0,6.0,2.0,0.18,"Bo Camaseyes Calle San Francisco # 108, Aguadilla, PR, 00603",Bo Camaseyes Calle San Francisco # 108,Aguadilla,Puerto Rico,603.0,2035.0,
for_sale,44720.0,,,0.18,"Altos Victoria, Aguadilla, PR, 00603",Altos Victoria,Aguadilla,Puerto Rico,603.0,,
for_sale,35000.0,,,0.4,"Pr 443 Km Bo Caimital Abajo Unit 5, Aguadilla, PR, 00603",Pr 443 Km Bo Caimital Abajo Unit 5,Aguadilla,Puerto Rico,603.0,,
for_sale,75000.0,,,0.4,"D-1 Solar, Aguadilla, PR, 00603",D-1 Solar,Aguadilla,Puerto Rico,603.0,,
for_sale,37000.0,,,0.42,"Pr, Aguadilla, PR, 00603",Pr,Aguadilla,Puerto Rico,603.0,,
for_sale,37359.0,,,0.22,"3 Aguadilla Bo Ceiba Baja-Lote, Aguadilla, PR, 00603",3 Aguadilla Bo Ceiba Baja-Lote,Aguadilla,Puerto Rico,603.0,,
for_sale,739500.0,,,2.43,"2 Playuela, Aguadilla, PR, 00603",2 Playuela,Aguadilla,Puerto Rico,603.0,,
for_sale,65000.0,,,0.28,"2 Bo Ceiba Baja, Aguadilla, PR, 00603",2 Bo Ceiba Baja,Aguadilla,Puerto Rico,603.0,,
for_sale,56406.0,,,0.33,"8 Aguadilla Bo Ceiba Baja-Lote, Aguadilla, PR, 00603",8 Aguadilla Bo Ceiba Baja-Lote,Aguadilla,Puerto Rico,603.0,,
for_sale,620000.0,5.0,3.0,0.52,"110 St, Aguadilla, PR, 00603",110 St,Aguadilla,Puerto Rico,603.0,3267.0,
for_sale,649900.0,8.0,3.0,0.19,"Bo Montana Calle Las Palmas, Aguadilla, PR, 00603",Bo Montana Calle Las Palmas,Aguadilla,Puerto Rico,603.0,3700.0,
for_sale,44995.0,,,0.26,"2 Aguadilla Bo Ceiba Baja Lote, Aguadilla, PR, 00603",2 Aguadilla Bo Ceiba Baja Lote,Aguadilla,Puerto Rico,603.0,,
for_sale,37779.0,,,0.22,"7 Bo Ceiba Baja-Lote, Aguadilla, PR, 00603",7 Bo Ceiba Baja-Lote,Aguadilla,Puerto Rico,603.0,,
for_sale,60123.0,,,0.35,"Aguadilla Bo Ceiba Baja, Aguadilla, PR, 00603",Aguadilla Bo Ceiba Baja,Aguadilla,Puerto Rico,603.0,,
for_sale,38279.0,,,0.23,"1 Aguadilla Bo Ceiba Baja-Lote, Aguadilla, PR, 00603",1 Aguadilla Bo Ceiba Baja-Lote,Aguadilla,Puerto Rico,603.0,,
for_sale,199900.0,,,11.0,"Aguada Bo Malpaso, Aguada, PR, 00603",Aguada Bo Malpaso,Aguada,Puerto Rico,603.0,,
for_sale,125000.0,,,0.22,"26 Urb Playa India Solar 26 Sector Playuela, Aguadilla, PR, 00603",26 Urb Playa India Solar 26 Sector Playuela,Aguadilla,Puerto Rico,603.0,,
for_sale,200000.0,,,0.49,"Carr Urb Mansiones De Versalles # 2, Aguadilla, PR, 00603",Carr Urb Mansiones De Versalles # 2,Aguadilla,Puerto Rico,603.0,,
for_sale,150000.0,,,0.2,"1 Bo Borinquen, Aguadilla, PR, 00603",1 Bo Borinquen,Aguadilla,Puerto Rico,603.0,,
for_sale,8000000.0,,,247.57,"1 Barrio Jobos, Isabela, PR, 00603",1 Barrio Jobos,Isabela,Puerto Rico,603.0,,
for_sale,1000000.0,,,5.0,"Bo Palmar Carr 111 1 9 Unit Km, Aguadilla, PR, 00603",Bo Palmar Carr 111 1 9 Unit Km,Aguadilla,Puerto Rico,603.0,,
for_sale,695000.0,,,1.89,"Km 6 4 Carr # 110, Aguadilla, PR, 00603",Km 6 4 Carr # 110,Aguadilla,Puerto Rico,603.0,,
for_sale,98000.0,5.0,2.0,4.55,"Bo Maricao Afuera, Maricao, PR, 00606",Bo Maricao Afuera,Maricao,Puerto Rico,606.0,2156.0,
for_sale,55000.0,5.0,2.0,5.14,"Carretera 120 Km 25 9 Int Barrio Maricao Afuera, Maricao, PR, 00606",Carretera 120 Km 25 9 Int Barrio Maricao Afuera,Maricao,Puerto Rico,606.0,2156.0,
for_sale,75000.0,5.0,2.0,4.86,"Carr 105 Km # 395, Maricao, PR, 00606",Carr 105 Km # 395,Maricao,Puerto Rico,606.0,1563.0,
for_sale,80000.0,3.0,1.0,0.35,"Indiera Baja Lot 72, Maricao, PR, 00606",Indiera Baja Lot 72,Maricao,Puerto Rico,606.0,915.0,
for_sale,160000.0,,,12.25,"Km 5 1 Carr # 366, Maricao, PR, 00606",Km 5 1 Carr # 366,Maricao,Puerto Rico,606.0,,
for_sale,46900.0,3.0,1.0,,"8R Calle Balboa Unit 9A, Mayaguez, PR, 00680",8R Calle Balboa Unit 9A,Mayaguez,Puerto Rico,680.0,982.0,
for_sale,125000.0,8.0,5.0,0.09,"16 Calle Rosa Sg-16 Urbanizacion Valle Hermoso Sur, Hormigueros, PR, 00660",16 Calle Rosa Sg-16 Urbanizacion Valle Hermoso Sur,Hormigueros,Puerto Rico,660.0,2000.0,
for_sale,95000.0,2.0,2.0,0.15,"2 Calle E, Guanica, PR, 00653",2 Calle E,Guanica,Puerto Rico,653.0,1393.0,
for_sale,105000.0,3.0,2.0,0.08,"DD18 Calle 28, Ponce, PR, 00728",DD18 Calle 28,Ponce,Puerto Rico,728.0,1500.0,
for_sale,330000.0,3.0,2.0,1.75,"Km 3 7 Int Camino La Laguna-Carr # 311, Cabo Rojo, PR, 00623",Km 3 7 Int Camino La Laguna-Carr # 311,Cabo Rojo,Puerto Rico,623.0,1620.0,
for_sale,115000.0,3.0,2.0,0.09,"55 Doncella St, Mayaguez, PR, 00680",55 Doncella St,Mayaguez,Puerto Rico,680.0,1760.0,
for_sale,285000.0,2.0,1.0,4.74,"1921 Carr 312 Km 3 9 Int Bo Llanos Tuna Cabo Rojo Pr # 623, Cabo Rojo, PR, 00623",1921 Carr 312 Km 3 9 Int Bo Llanos Tuna Cabo Rojo Pr # 623,Cabo Rojo,Puerto Rico,623.0,1000.0,
for_sale,300000.0,5.0,3.0,7.46,"Pr 120 Bo Maravilla Sur K M # 335, Las Marias, PR, 00670",Pr 120 Bo Maravilla Sur K M # 335,Las Marias,Puerto Rico,670.0,5403.0,
for_sale,155000.0,3.0,2.0,0.1,"Pr, Lares, PR, 00669",Pr,Lares,Puerto Rico,669.0,4161.0,
for_sale,215000.0,7.0,4.0,0.11,"615 Calle Amapola, Mayaguez, PR, 00680",615 Calle Amapola,Mayaguez,Puerto Rico,680.0,2200.0,
for_sale,115000.0,3.0,2.0,,"311 Carretera 311 Km 0 2 Unit 203, Cabo Rojo, PR, 00623",311 Carretera 311 Km 0 2 Unit 203,Cabo Rojo,Puerto Rico,623.0,1205.0,
for_sale,140000.0,3.0,2.0,0.14,"237 Calle # J, Mayaguez, PR, 00680",237 Calle # J,Mayaguez,Puerto Rico,680.0,1200.0,
for_sale,87000.0,3.0,1.0,0.04,"10 Calle Enrique Koppisch, Mayaguez, PR, 00682",10 Calle Enrique Koppisch,Mayaguez,Puerto Rico,682.0,,
for_sale,250000.0,4.0,2.0,0.08,"36 Calle Betances, Cabo Rojo, PR, 00623",36 Calle Betances,Cabo Rojo,Puerto Rico,623.0,3052.0,
for_sale,70000.0,3.0,1.0,0.08,"15 Rey, San German, PR, 00683",15 Rey,San German,Puerto Rico,683.0,894.0,
for_sale,190000.0,5.0,5.0,0.08,"1 Calle Reinaldo Santiago # 24, Mayaguez, PR, 00680",1 Calle Reinaldo Santiago # 24,Mayaguez,Puerto Rico,680.0,1600.0,
for_sale,122500.0,3.0,2.0,0.05,"16 Muoz Rivera St, Yauco, PR, 00698",16 Muoz Rivera St,Yauco,Puerto Rico,698.0,1118.0,
for_sale,575000.0,3.0,2.0,3.88,"5.8 Carr 435 Km # 58, San Sebastian, PR, 00685",5.8 Carr 435 Km # 58,San Sebastian,Puerto Rico,685.0,4000.0,
for_sale,235000.0,4.0,4.0,0.22,"10 Calle Carrau # 3351, Mayaguez, PR, 00680",10 Calle Carrau # 3351,Mayaguez,Puerto Rico,680.0,3450.0,
for_sale,150000.0,3.0,1.0,0.07,"2 San German, San German, PR, 00683",2 San German,San German,Puerto Rico,683.0,363.0,
for_sale,750000.0,12.0,6.0,0.52,"Calle 4, Cabo Rojo, PR, 00623",Calle 4,Cabo Rojo,Puerto Rico,623.0,4800.0,
for_sale,125000.0,,1.0,,"304 Calle Manuel Blanco Unit 304, Mayaguez, PR, 00682",304 Calle Manuel Blanco Unit 304,Mayaguez,Puerto Rico,682.0,390.0,
for_sale,950000.0,9.0,8.0,0.17,"C1 Carr 429 Bo Barrero, Rincon, PR, 00677",C1 Carr 429 Bo Barrero,Rincon,Puerto Rico,677.0,3852.0,
for_sale,1200000.0,5.0,4.0,1.8,"414 Carr 414 Bo Atalaya Km 0 6 Int Aguada, Aguada, PR, 00677",414 Carr 414 Bo Atalaya Km 0 6 Int Aguada,Aguada,Puerto Rico,677.0,6000.0,
for_sale,495000.0,4.0,3.0,0.4,"6 Calle B, Lajas, PR, 00667",6 Calle B,Lajas,Puerto Rico,667.0,6500.0,
for_sale,90000.0,3.0,1.0,0.19,"308 Calle Santa Fe, Mayaguez, PR, 00682",308 Calle Santa Fe,Mayaguez,Puerto Rico,682.0,778.0,
for_sale,395000.0,3.0,2.0,0.25,"307 Lomas De La Bahia, Cabo Rojo, PR, 00623",307 Lomas De La Bahia,Cabo Rojo,Puerto Rico,623.0,2800.0,
for_sale,82000.0,1.0,1.0,,"Apt 1-A Calle Jose De Diego Unit-A, Mayaguez, PR, 00680",Apt 1-A Calle Jose De Diego Unit-A,Mayaguez,Puerto Rico,680.0,471.0,
